regime,seed,query_id,main_nDCG,abl_nDCG,abl_served,absdiff
asymmetric,1,LiTs-104,1.0,1.0,True,0.0
asymmetric,1,LiTs-105,0.9337457765456111,0.9337457765456112,True,1.1102230246251565e-16
asymmetric,1,LiTs-111,0.20744158496521575,0.2074415849652157,True,5.551115123125783e-17
asymmetric,1,LiTs-128,0.15691817494387428,0.1569181749438742,True,8.326672684688674e-17
asymmetric,1,LiTs-130,0.1356854453911663,0.1356854453911663,True,0.0
asymmetric,1,pancreas_001,0.0,0.0,False,0.0
asymmetric,1,pancreas_012,0.0,0.0,False,0.0
asymmetric,1,pancreas_042,0.0,0.0,False,0.0
asymmetric,1,pancreas_058,0.0,0.0,False,0.0
asymmetric,1,pancreas_077,0.0,0.0,False,0.0
asymmetric,1,pancreas_080,0.0,0.0,False,0.0
asymmetric,1,pancreas_081,0.0,0.0,False,0.0
asymmetric,1,pancreas_084,0.0,0.0,False,0.0
asymmetric,1,pancreas_086,0.0,0.0,False,0.0
asymmetric,1,pancreas_089,0.0,0.0,False,0.0
asymmetric,1,pancreas_091,0.0,0.0,False,0.0
asymmetric,1,pancreas_092,0.0,0.0,False,0.0
asymmetric,1,pancreas_094,0.0,0.0,False,0.0
asymmetric,1,pancreas_104,0.0,0.0,False,0.0
asymmetric,1,pancreas_110,0.0,0.0,False,0.0
asymmetric,1,pancreas_113,0.0,0.0,False,0.0
asymmetric,1,pancreas_114,0.0,0.0,False,0.0
asymmetric,1,pancreas_117,0.0,0.0,False,0.0
asymmetric,1,pancreas_119,0.0,0.0,False,0.0
asymmetric,1,pancreas_120,0.0,0.0,False,0.0
asymmetric,1,pancreas_124,0.0,0.0,False,0.0
asymmetric,1,pancreas_130,0.0,0.0,False,0.0
asymmetric,1,pancreas_131,0.0,0.0,False,0.0
asymmetric,1,pancreas_159,0.0,0.0,False,0.0
asymmetric,1,pancreas_169,0.0,0.0,False,0.0
asymmetric,1,pancreas_186,0.0,0.0,False,0.0
asymmetric,1,pancreas_193,0.0,0.0,False,0.0
asymmetric,1,pancreas_199,0.0,0.0,False,0.0
asymmetric,1,pancreas_204,0.0,0.0,False,0.0
asymmetric,1,pancreas_207,0.0,0.0,False,0.0
asymmetric,1,pancreas_213,0.0,0.0,False,0.0
asymmetric,1,pancreas_214,0.0,0.0,False,0.0
asymmetric,1,pancreas_229,0.0,0.0,False,0.0
asymmetric,1,pancreas_244,0.0,0.0,False,0.0
