masking_regime,mask_metadata,method,Delta_upstream_P@10,Delta_upstream_R@10,Delta_upstream_mAP,Delta_upstream_nDCG@10,Delta_upstream_ServedRate
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",Gower,0.008571428571428563,0.005734471530948013,0.01961633517340361,0.013286659373157872,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",Masked cosine,0.02571428571428569,0.007709140427312272,0.008215336816375263,0.03274122580623606,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",Mean imputation,0.037142857142857144,0.013956796828250281,0.009239753150487362,0.03274702992199097,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",Missingness indicators,0.017142857142857126,0.008633355497163445,0.0028949411017030746,0.010680763397214799,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",OAKG-lexicographic,0.03428571428571431,0.009002838305771088,0.016698287686697566,0.027221531583709824,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",OAKG-product,0.03428571428571431,0.009002838305771088,0.016710385549098372,0.027221531583709824,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",OAKG-similarity,-0.005714285714285727,0.0018657240688421395,0.015221741007143907,0.0012123504323989232,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",OAKG-threshold,0.03428571428571431,0.0198871164965429,0.028610010638489336,0.027447859600320035,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",WL,-0.011428571428571399,-0.008345051829566824,0.012992531632192272,-0.0011457793149486362,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",WL+Obs,-0.011428571428571399,-0.007906512770617768,0.01593105972355896,-0.0011457793149486362,0.0
uniform,"{""retained_organs"": [""left_kidney"", ""liver"", ""pancreas"", ""right_kidney"", ""spleen""]}",Zero imputation,0.037142857142857144,0.013956796828250281,0.009239753150487362,0.03274702992199097,0.0
