track,masking_regime,method,P@10,R@10,mAP,nDCG@10,ServedRate,n_queries,n_served
ref,dataset_style,WL+Obs [ref],"0.367 [0.308, 0.424]","0.156 [0.130, 0.182]","0.397 [0.363, 0.436]","0.400 [0.340, 0.456]",0.7142857142857143,35,100
ref,dataset_style,Zero imputation [ref],"0.365 [0.310, 0.421]","0.104 [0.088, 0.120]","0.387 [0.352, 0.425]","0.401 [0.346, 0.455]",1.0,35,140
ref,random,Gower [ref],"0.364 [0.306, 0.426]","0.106 [0.088, 0.125]","0.377 [0.340, 0.414]","0.402 [0.344, 0.462]",1.0,35,140
ref,random,Masked cosine [ref],"0.328 [0.281, 0.379]","0.091 [0.078, 0.104]","0.360 [0.327, 0.397]","0.367 [0.318, 0.423]",1.0,35,140
ref,random,Mean imputation [ref],"0.374 [0.321, 0.428]","0.108 [0.092, 0.124]","0.394 [0.360, 0.431]","0.413 [0.361, 0.466]",1.0,35,140
ref,random,Missingness indicators [ref],"0.386 [0.338, 0.442]","0.108 [0.094, 0.124]","0.396 [0.365, 0.429]","0.417 [0.368, 0.474]",1.0,35,140
ref,random,OAKG-lexicographic [ref],"0.382 [0.341, 0.427]","0.241 [0.213, 0.272]","0.409 [0.374, 0.445]","0.429 [0.389, 0.475]",1.0,35,140
ref,random,OAKG-product [ref],"0.391 [0.349, 0.436]","0.246 [0.217, 0.276]","0.419 [0.385, 0.454]","0.438 [0.397, 0.485]",1.0,35,140
ref,random,OAKG-similarity [ref],"0.356 [0.299, 0.415]","0.223 [0.186, 0.263]","0.431 [0.387, 0.469]","0.414 [0.359, 0.471]",1.0,35,140
ref,random,OAKG-threshold [ref],"0.354 [0.298, 0.413]","0.226 [0.188, 0.266]","0.431 [0.387, 0.470]","0.413 [0.358, 0.469]",1.0,35,140
ref,random,WL [ref],"0.429 [0.379, 0.483]","0.130 [0.114, 0.149]","0.385 [0.357, 0.416]","0.468 [0.417, 0.521]",1.0,35,140
ref,random,WL+Obs [ref],"0.426 [0.372, 0.479]","0.266 [0.234, 0.302]","0.444 [0.407, 0.481]","0.482 [0.432, 0.533]",1.0,35,140
ref,random,Zero imputation [ref],"0.374 [0.321, 0.428]","0.108 [0.092, 0.124]","0.394 [0.360, 0.431]","0.413 [0.361, 0.466]",1.0,35,140
ref,uniform,Gower [ref],"0.400 [0.286, 0.523]","0.120 [0.082, 0.159]","0.420 [0.345, 0.489]","0.434 [0.317, 0.550]",1.0,35,35
ref,uniform,Masked cosine [ref],"0.351 [0.250, 0.454]","0.097 [0.071, 0.126]","0.378 [0.304, 0.444]","0.384 [0.278, 0.482]",1.0,35,35
ref,uniform,Mean imputation [ref],"0.429 [0.300, 0.553]","0.123 [0.090, 0.159]","0.426 [0.341, 0.503]","0.452 [0.328, 0.573]",1.0,35,35
ref,uniform,Missingness indicators [ref],"0.420 [0.317, 0.509]","0.119 [0.090, 0.150]","0.416 [0.339, 0.474]","0.445 [0.338, 0.542]",1.0,35,35
ref,uniform,OAKG-lexicographic [ref],"0.454 [0.360, 0.550]","0.169 [0.132, 0.205]","0.416 [0.359, 0.473]","0.489 [0.388, 0.590]",1.0,35,35
ref,uniform,OAKG-product [ref],"0.454 [0.360, 0.550]","0.169 [0.132, 0.205]","0.416 [0.359, 0.473]","0.489 [0.388, 0.590]",1.0,35,35
ref,uniform,OAKG-similarity [ref],"0.383 [0.260, 0.500]","0.132 [0.088, 0.176]","0.427 [0.347, 0.499]","0.420 [0.300, 0.536]",1.0,35,35
ref,uniform,OAKG-threshold [ref],"0.454 [0.360, 0.550]","0.400 [0.313, 0.490]","0.524 [0.438, 0.608]","0.517 [0.407, 0.625]",1.0,35,35
ref,uniform,WL [ref],"0.460 [0.369, 0.557]","0.159 [0.115, 0.210]","0.429 [0.378, 0.486]","0.508 [0.416, 0.602]",1.0,35,35
ref,uniform,WL+Obs [ref],"0.460 [0.369, 0.557]","0.179 [0.135, 0.230]","0.443 [0.389, 0.501]","0.508 [0.416, 0.602]",1.0,35,35
ref,uniform,Zero imputation [ref],"0.429 [0.300, 0.553]","0.123 [0.090, 0.159]","0.426 [0.341, 0.503]","0.452 [0.328, 0.573]",1.0,35,35
