regime,seed,query_id,method,nDCG@10,served
random,0,FLARETs_0035,OAKG-Union,0.5174612499126158,True
random,0,FLARETs_0036,OAKG,0.5895129526105488,True
random,0,FLARETs_0036,OAKG-Union,0.48330759559720143,True
random,0,FLARETs_0039,OAKG,0.0,True
random,0,FLARETs_0039,OAKG-Union,0.4276241916114525,True
random,0,FLARETs_0044,OAKG,0.0,True
random,0,FLARETs_0044,OAKG-Union,0.09769590435411478,True
random,0,FLARETs_0050,OAKG,0.2371821855563201,True
random,0,FLARETs_0050,OAKG-Union,0.690579767017011,True
random,1,pancreas_001,OAKG,0.8389574121760601,True
random,1,pancreas_001,OAKG-Union,1.0,True
random,1,pancreas_012,OAKG,0.18584890454265313,True
random,1,pancreas_012,OAKG-Union,0.21306158485699,True
random,1,pancreas_042,OAKG,0.0,True
random,1,pancreas_042,OAKG-Union,0.0,True
random,1,pancreas_058,OAKG,0.0,True
random,1,pancreas_058,OAKG-Union,0.0,True
random,1,pancreas_077,OAKG,0.0,True
random,1,pancreas_077,OAKG-Union,0.0,True
random,1,pancreas_080,OAKG,0.32168228630480294,True
random,1,pancreas_080,OAKG-Union,0.5668339904824009,True
random,1,pancreas_081,OAKG,0.3008021793031486,True
random,1,pancreas_081,OAKG-Union,0.3425479501917774,True
random,1,pancreas_084,OAKG,0.6402900881481707,True
random,1,pancreas_084,OAKG-Union,1.0,True
random,1,pancreas_086,OAKG,0.8515543142729491,True
random,1,pancreas_086,OAKG-Union,0.8515543142729491,True
random,1,pancreas_089,OAKG,0.5640672777396768,True
random,1,pancreas_089,OAKG-Union,0.7221746306981013,True
random,1,pancreas_091,OAKG,0.6947651160602989,True
random,1,pancreas_091,OAKG-Union,1.0,True
random,1,pancreas_092,OAKG,0.14465249243306436,True
random,1,pancreas_092,OAKG-Union,0.21819512777735,True
random,1,pancreas_094,OAKG,1.0,True
random,1,pancreas_094,OAKG-Union,1.0,True
random,1,pancreas_104,OAKG,0.14285714285714285,True
random,1,pancreas_104,OAKG-Union,0.14285714285714285,True
random,1,pancreas_110,OAKG,0.8364586133797037,True
random,1,pancreas_110,OAKG-Union,1.0,True
random,1,pancreas_113,OAKG,0.8708624147461596,True
random,1,pancreas_113,OAKG-Union,0.9371166382005486,True
random,1,pancreas_114,OAKG,0.0,True
random,1,pancreas_114,OAKG-Union,0.0,True
random,1,pancreas_117,OAKG,0.4309322110679313,True
random,1,pancreas_117,OAKG-Union,0.4309322110679313,True
random,1,pancreas_119,OAKG,0.6328124867642183,True
random,1,pancreas_119,OAKG-Union,0.94546789582947,True
random,1,pancreas_120,OAKG,0.0,True
random,1,pancreas_120,OAKG-Union,0.0,True
random,1,pancreas_124,OAKG,0.2940945979596689,True
random,1,pancreas_124,OAKG-Union,0.9363792118010483,True
random,1,pancreas_130,OAKG,0.22628921392299603,True
random,1,pancreas_130,OAKG-Union,0.31708532520472715,True
random,1,pancreas_131,OAKG,0.27305408203035797,True
random,1,pancreas_131,OAKG-Union,0.31708532520472715,True
random,1,pancreas_159,OAKG,0.15090863280404943,True
random,1,pancreas_159,OAKG-Union,0.15090863280404943,True
random,1,pancreas_169,OAKG,0.0,True
random,1,pancreas_169,OAKG-Union,0.0,True
random,1,pancreas_186,OAKG,0.29382270210755734,True
random,1,pancreas_186,OAKG-Union,0.31708532520472715,True
random,1,pancreas_193,OAKG,0.637161318481177,True
random,1,pancreas_193,OAKG-Union,0.637161318481177,True
random,1,pancreas_199,OAKG,0.0,True
