stratum,family,query_id,query_source,method,metric,value,n_candidates,n_graded_relevant,n_binary_relevant
same-source,primary,Q0012,msd_pancreas,OAKG-Union,map,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,WL,ndcg@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,WL,precision@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,WL,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0012,msd_pancreas,WL,map,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,ZeroImputation,ndcg@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,ZeroImputation,precision@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,ZeroImputation,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0012,msd_pancreas,ZeroImputation,map,1.0,280,280,280
same-source,primary,Q0013,msd_pancreas,MissingnessIndicators,ndcg@10,0.14285714285714285,280,280,132
same-source,primary,Q0013,msd_pancreas,MissingnessIndicators,precision@10,0.0,280,280,132
same-source,primary,Q0013,msd_pancreas,MissingnessIndicators,recall@10,0.0,280,280,132
same-source,primary,Q0013,msd_pancreas,MissingnessIndicators,map,0.29938194314260913,280,280,132
same-source,primary,Q0013,msd_pancreas,OAKG,ndcg@10,0.14285714285714285,280,280,132
same-source,primary,Q0013,msd_pancreas,OAKG,precision@10,0.0,280,280,132
same-source,primary,Q0013,msd_pancreas,OAKG,recall@10,0.0,280,280,132
same-source,primary,Q0013,msd_pancreas,OAKG,map,0.40131244335848415,280,280,132
same-source,primary,Q0013,msd_pancreas,OAKG-Union,ndcg@10,0.14285714285714285,280,280,132
same-source,primary,Q0013,msd_pancreas,OAKG-Union,precision@10,0.0,280,280,132
same-source,primary,Q0013,msd_pancreas,OAKG-Union,recall@10,0.0,280,280,132
same-source,primary,Q0013,msd_pancreas,OAKG-Union,map,0.40131244335848415,280,280,132
same-source,primary,Q0013,msd_pancreas,WL,ndcg@10,0.8113499146016455,280,280,132
same-source,primary,Q0013,msd_pancreas,WL,precision@10,0.9,280,280,132
same-source,primary,Q0013,msd_pancreas,WL,recall@10,0.06818181818181818,280,280,132
same-source,primary,Q0013,msd_pancreas,WL,map,0.5944768921980814,280,280,132
same-source,primary,Q0013,msd_pancreas,ZeroImputation,ndcg@10,0.14285714285714285,280,280,132
same-source,primary,Q0013,msd_pancreas,ZeroImputation,precision@10,0.0,280,280,132
same-source,primary,Q0013,msd_pancreas,ZeroImputation,recall@10,0.0,280,280,132
same-source,primary,Q0013,msd_pancreas,ZeroImputation,map,0.29802631859220335,280,280,132
same-source,primary,Q0014,msd_pancreas,MissingnessIndicators,ndcg@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,MissingnessIndicators,precision@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,MissingnessIndicators,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0014,msd_pancreas,MissingnessIndicators,map,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,OAKG,ndcg@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,OAKG,precision@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,OAKG,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0014,msd_pancreas,OAKG,map,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,OAKG-Union,ndcg@10,1.0,280,280,280
